code	scientific_name	genome_source	reference_identifier	assembly_name	assembly_accession	genome_fasta_url	genome_fasta_records	genome_sequence_bases	genome_sequence_sha256	mirgenedb_bed_url	source_bed_rows	source_bed_bytes	source_bed_sha256	precursor_bed_rows	precursor_bed_sha256	panel_status
pca	Priapulus caudatus	NCBI	GCA_000485595.2	Priapulus_caudatus_gca000485595v2	GCA_000485595.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000485595.2/download?include_annotation_type=GENOME_FASTA	59586	511723334	0db4ea656212722e70e527e9ed0648d13dbbb6ff238246c4175523f9a3235f48	https://mirgenedb.org/static/data/pca/pca-all.bed	784	37277	f93b7cec20d8f0f19d7b3a896988285e429d9ac171d64882568c8e5ec425a2fb	78	39d96af7fd6704dd84d1c1f04b4f352c416a7ef5725b8f0a3b0883722e74709d	strict_exact
sko	Saccoglossus kowalevskii	NCBI	GCF_000003605.2	Skow_1.1	GCF_000003605.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000003605.2/download?include_annotation_type=GENOME_FASTA	54120	775840395	42cb23572b8fd39491aa58dcfea7f32b263dd5d37d16a2cc90e4bf787321869c	https://mirgenedb.org/static/data/sko/sko-all.bed	796	41094	5d04980524b170d67b0a4674d3eef1f1f56438cee6716d2da93fb6c8d78ca545	78	1312d2edaf18f18f9aaf0d2d748adc6762d85b753cdd693a832de4c44d8ae1d0	strict_exact
pau	Phoronis australis	NCBI	GCA_002633005.1	Phoronis_australis_GCA_002633005	GCA_002633005.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_002633005.1/download?include_annotation_type=GENOME_FASTA	3983	498443662	635a9333822877fbf842619ee73ffc633716e2da0de8eef17c8754e801e7f76a	https://mirgenedb.org/static/data/pau/pau-all.bed	728	38136	d519bbff4287d712546cdec5e893a1e2b9b503552643a527115a73e3b98f9dfa	73	c57b80806bda9b9e093f24b8797236d708e1e2c01e6a2f6a6ce587a7fc83c641	strict_exact
war	Wirenia argentea	NCBI	GCA_025802215.1	GCA_025802215.1_ASM2580221v1_Wirenia	GCA_025802215.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_025802215.1/download?include_annotation_type=GENOME_FASTA	230499	528769856	34db5913cf913063bc2d35cf3f9d754b75640e0936355b6d10308a5ab368e0e1	https://mirgenedb.org/static/data/war/war-all.bed	734	35141	04633835b307764eb949e41ae90f7446e9523d26b95e124744875f54301185f6	72	a569f29edd3cbc891c7c92553a494da1d644a62e4ef0ae44d78f9e93185156a5	strict_exact
pcr	Prostheceraeus crozieri	NCBI	GCA_907163375.1	GCA_907163375.1_PROCRO_GENOME_genomic	GCA_907163375.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_907163375.1/download?include_annotation_type=GENOME_FASTA	17074	2065465794	9de76eb56c4ebcb076e90a7b8be150fec015c194250670e37f250ed1a3352ea1	https://mirgenedb.org/static/data/pcr/pcr-all.bed	715	39831	45a32401651d6b388aae6d7d4c76152f867c1fafa91e4dff35f67ed44263cee0	71	faa3c72e5f74ce073a4ccacc1fe3609cda1c9ded7b5ceacb1e4a7c22d18c441d	strict_exact
eba	Epimenia babai	NCBI	GCA_011762755.2	GCA_011762755.2_ASM1176275v2_Epimenia	GCA_011762755.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_011762755.2/download?include_annotation_type=GENOME_FASTA	229818	537167073	270fcf1c27447c9ea1ad3e5c9b88c4695b9401b0f15b1185bf7ea3586973ed70	https://mirgenedb.org/static/data/eba/eba-all.bed	651	31655	750648010dcd2f6550c7cf22363cdd35a6f76d3d11f1ad4793358ee1a16145b9	64	c625fcf028b2ff903d0de095ef60905d59e2c2ae788aba4ba159bf18a476da53	strict_exact
isc	Ixodes scapularis	NCBI	GCF_016920785.2	GCF_016920785.2_ASM1692078v2_ISC	GCF_016920785.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_016920785.2/download?include_annotation_type=GENOME_FASTA	648	2226883318	616f11593a11d54c8af955546f430888a9efacd0b741480871f20c0959a033be	https://mirgenedb.org/static/data/isc/isc-all.bed	640	35642	79dc7ffcc4da839887ceaae356b8de58dad33c69f48fd2090c4d55017cf2caac	64	596e2859546f42dbd1e280f0199bd07340bec201f012603bff239d6f25ccbdc5	strict_exact
bko	Brachionus koreanus	NCBI	GCA_016987375.1	Brachionus_koreanusGCA_016987375.1_Bk_v0.5.4_genomic	GCA_016987375.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_016987375.1/download?include_annotation_type=GENOME_FASTA	567	86146996	f3fb9c6fde7371afeb67ce496cab9cefdc43ebeffbb981003b244f8a5f4b64cb	https://mirgenedb.org/static/data/bko/bko-all.bed	591	31780	1f2db29ef5db8fb418dd2a90bdb2827244137e961213dd18aaffcebcc4200f11	61	577b62fd1f7383d25459554223165d612e986550905abddc24b12322a0c269a3	strict_exact
pmi	Patiria miniata	NCBI	GCA_000285935.1	Pmin1	GCA_000285935.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000285935.1/download?include_annotation_type=GENOME_FASTA	60183	811028858	2243a7b262bbc333af404d116571d85723f6875aff3d9d045e412ad0735ea398	https://mirgenedb.org/static/data/pmi/pmi-all.bed	606	27806	59bb418162886d637031b4b3d73c61b7038614560b5572edff2fe1ffcfc39092	59	1f30bcda8b5ce9f759d709e26f3e28d57e7a1ec957d60b70f395fbeb5bdd9bd3	strict_exact
spu	Strongylocentrotus purpuratus	NCBI	GCF_000002235.5	Spur_5.0	GCF_000002235.5	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000002235.5/download?include_annotation_type=GENOME_FASTA	871	921855793	3f2b70ec89a7f559e0e490d2fa12af3d326832e81407d44a2beb0e58ea9a209f	https://mirgenedb.org/static/data/spu/spu-all.bed	604	33337	bd754e0de93234a7a7d19a8a9573c839cecd77098d3a50456ca7e15bb600a526	59	bf7ab6046e2bc29c767abdca0a68f3bb4d453f7f4f5b91df0df14afda303c40c	strict_exact
bpl	Brachionus plicatilis	NCBI	GCA_010279815.1	Bpl_ASM1027981	GCA_010279815.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_010279815.1/download?include_annotation_type=GENOME_FASTA	716	106939251	ad3314a3cc31c8ca1426d0c42328d738a0d5249d213bfb6a77aa557cff9a6c25	https://mirgenedb.org/static/data/bpl/bpl-all.bed	519	27633	dbe088f7e2c3e1abc8f0391b695454d4022477f7aa2e0c080fef8768b6cebb87	54	7d09da8bd8d9ea64498d22f938aa930dda3ef369d6617ca9820d67adffd3fd10	strict_exact
egr	Echinococcus granulosus	NCBI	GCA_000524195.1	GCA_000524195.1_ASM52419v1_Egranulosus	GCA_000524195.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000524195.1/download?include_annotation_type=GENOME_FASTA	957	110837706	57fa66de6908a17f245f6b61985aa596d8e0e5089ec64cdfd0490b4c75ecd1dd	https://mirgenedb.org/static/data/egr/egr-all.bed	520	27161	e6f539174ca9a65b37098b564e62639f1307c3e1906cedfd4d140e76205b1337	52	2eb640b5cf866d0c8820b2ee2465951eabaa2d688ff93c33f881ad2e9a4ed04d	strict_exact
sma	Schistosoma mansoni	NCBI	GCA_000237925.5	GCA_000237925.5_SM_V9_genomic	GCA_000237925.5	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000237925.5/download?include_annotation_type=GENOME_FASTA	12	391422238	ede0abd2918694137bbc7f127a607ce004e1d2c85917e8aa366a8a5425821a2e	https://mirgenedb.org/static/data/sma/sma-all.bed	470	24298	1061abb9a4400ebdeda39db69b0364d430b7f90577c010eb0d3f1f5f044e795d	47	a58d6053edbf84c21fb628d1d89afe62bb72581185ca8955a9b959b7318e945d	strict_exact
gsa	Gyrodactylus salaris	NCBI	GCA_000715275.1	gyrodactylus_salaris.PRJNA244375.WBPS19.genomic	GCA_000715275.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000715275.1/download?include_annotation_type=GENOME_FASTA	6075	67380660	125aab577a57cdea196918054b4998f941c11b4a3d6bcea3d2fe94d98c12c6fe	https://mirgenedb.org/static/data/gsa/gsa-all.bed	462	23552	e80994db0f953104b29c739b99c6afd4ec28182cf17ff608d3b6cbfc44553844	46	d63b1199a9548142da5614d3efb993816b39a9c81bd89750725bf5de5c94a641	strict_exact
sro	Symsagittifera roscoffensis	NCBI	GCA_025153585.1	GCA_025153585.1_SymRos_1_5_genomic	GCA_025153585.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_025153585.1/download?include_annotation_type=GENOME_FASTA	3460	1103025803	5dbfacf17c36523cb38ec969f88dd42bfee6f86aa814112e22de9ebe9892f06b	https://mirgenedb.org/static/data/sro/sro-all.bed	358	20188	71113ccb424264d4b3b22bc3049350e5f8c5573a9790ad0eadd440b0890a79a0	39	891a3a32e24a32cf06a137007155f21259ce1f21f6773cec43919429ff0b6891	strict_exact
asp	Actinernus sp.	NCBI	GCA_030867875.1	GCA_030867875.1_CUHK_Acti_1.0_genomic	GCA_030867875.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030867875.1/download?include_annotation_type=GENOME_FASTA	1812	1391727875	47c4df37c485c27a9d2ff0d11d36cc57db82a5f5df0021600db371c717f5e443	https://mirgenedb.org/static/data/asp/asp-all.bed	283	17125	5bef97330d0a07aaaa741af99ef075ffc344fa32f7237c1ae6c057714084f680	31	8eb6522e25b8f4bd4305d5e536a396bc762a40b49510758064a17772bd780158	strict_exact
nve	Nematostella vectensis	NCBI	GCF_000209225.1	GCF_000209225.1_ASM20922v1_NVE	GCF_000209225.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000209225.1/download?include_annotation_type=GENOME_FASTA	10804	356613585	df0223e401ae3b8ded0c9e51e00263ac234f120ba2204935e0abdd6cea15451c	https://mirgenedb.org/static/data/nve/nve-all.bed	276	14464	4ae8af6fa377d1ff4771871d402d81d6318d02e52628a15880eb719db8dcf5ec	30	65d1bcc65d3eb1f99671ce550c2b860fc4a0b7e8cb94f570922452cd0bd1940d	strict_exact
gsp	Gordionus sp.	NCBI	GCA_954871325.1	GCA_954871325.1_tfGorGonz1-WG_genomic	GCA_954871325.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_954871325.1/download?include_annotation_type=GENOME_FASTA	398	287795482	e404f9187e3bd62d1ae68f854a51122178b40debd339ae46a9fcc400d0259942	https://mirgenedb.org/static/data/gsp/gsp-all.bed	255	12833	e662eeca0564c9ad9bef2f514f0566ed7720ff0f283e25cc7d209446b1406f29	27	dd06c5c96e98ee9ae9e8827bb1558b7e38272643806a6ab35c4d4de71740f630	strict_exact
hmi	Hofstenia miamia	NCBI	GCA_004352715.1	Hofstenia_miamia.HmiaM1.dna.nonchromosomal	GCA_004352715.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_004352715.1/download?include_annotation_type=GENOME_FASTA	18347	949842658	f8afaa7b6aea2871029e4adc24fa871035a71d2b90e760100967b4506cc59478	https://mirgenedb.org/static/data/hmi/hmi-all.bed	257	13397	a0e6092e38fd3de6c9bc45c79f87300fba124cf197a4a4ced3bd1cbd6a84945a	27	551037c8c4504d4139bdb6091f211f5349b959afa23759c2109c87ab2091de61	strict_exact
hvu	Hydra vulgaris	NHGRI Hydra portal	Hm105_1.0	Hm105_1.0		https://research.nhgri.nih.gov/hydra/download/assembly/Hm105_Dovetail_Assembly_1.0.fa.gz	5525	853782670	bf63c5555b5a7fae3e9933a0e1f8511ee8dd7ee5499b89ad46388d89b25c1f72	https://mirgenedb.org/static/data/hvu/hvu-all.bed	241	11939	34776a289ed6bb017bc91897749886c5b391c92a3925bed1421b4aad436e5e09	26	95cb7d874497ab602c4c680c12efb51158c503ebbf44ec099405b5bc7d1c0f2c	strict_exact
adi	Acropora digitifera	NCBI	GCA_000222465.2	GCA_000222465.2_Adig_1.1_genomic	GCA_000222465.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_000222465.2/download?include_annotation_type=GENOME_FASTA	2420	447478678	65ced04ce616d024edb81bce0516221aadd25af6114d1295d5cc569885a1d192	https://mirgenedb.org/static/data/adi/adi-all.bed	225	10856	10a57244e16d86ec0b9e9894e671f081ed40f0da7ed3da47a0ee98b01c7b9e6b	24	70676abeb9132b04ffc967505926505090e9b7db48a7fb00ac78782a9a2510a0	strict_exact
ple	Pomphorhynchus laevis	NCBI	GCA_012934845.2	GCA_012934845.2_ASM1293484v2_PLE_genomic	GCA_012934845.2	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_012934845.2/download?include_annotation_type=GENOME_FASTA	3864	253271445	8ba000563305bfc0a82b29956c6af64ecdf0c77cb283f38a6469ab7bfe5ad034	https://mirgenedb.org/static/data/ple/ple-all.bed	110	5435	8a871a57366891d919951de99c0594a2ff4058661238ea8cb3c467dba8a55c3a	12	46dad00ba720ecbf779d1eda3bd521145c7c4652c924cf33a05b5d2cb4e486cd	strict_exact
aqu	Amphimedon queenslandica	NCBI	GCF_000090795.1	GCF_000090795.1_v1.0_SPONGE	GCF_000090795.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000090795.1/download?include_annotation_type=GENOME_FASTA	13398	166699561	4840292b80d0dc28f2f6d68d5e21a959ac238e66defbee6d8b597743349cc5d1	https://mirgenedb.org/static/data/aqu/aqu-all.bed	83	4264	ee2ed9ced0728512b024206011a478da7c183f76f38eb56248b0c90d986ed063	9	1e1377d883d638fd24fe91597954daef4b3ca7e5a159b99ab7e1e4c43a3c33d1	strict_exact
emu	Ephydatia muelleri	NCBI	GCA_013339895.1	GCA_013339895_Emu	GCA_013339895.1	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_013339895.1/download?include_annotation_type=GENOME_FASTA	1434	322619961	413c38bf31694bea88b8206414458ac8b84b9ca4b56985e96ea5d14b93e4484a	https://mirgenedb.org/static/data/emu/emu-all.bed	66	3846	3aa7056adc4eacbaa0c6e5b6ba61c7bbe7f2bc33453c101919aa511c3c58b133	7	0c81b6db4f96c1d306373f6db46f27ad4c4a1591b2e1e4e1bea8c3a710c674d5	strict_exact
